model,domain,regime,method,task_id,reward,termination,duration_sec,benchmark_split,timeout_s,max_steps,source
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,156.3,dev,900,25,ravel_corrected
Gemma4-31B,airline,FullSync,Baseline,7,0.0,USER_STOP,44.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,8,0.0,MAX_STEPS,79.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,12,0.0,MAX_STEPS,45.0,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,17,1.0,USER_STOP,50.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,22,1.0,USER_STOP,55.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,30,1.0,USER_STOP,45.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,32,0.0,MAX_STEPS,69.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,33,0.0,MAX_STEPS,46.6,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,37,1.0,USER_STOP,64.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,44,0.0,USER_STOP,65.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,7,0.0,USER_STOP,48.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,8,0.0,MAX_STEPS,74.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,12,0.0,MAX_STEPS,49.1,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,17,1.0,USER_STOP,56.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,22,1.0,USER_STOP,57.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,30,1.0,USER_STOP,50.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,32,0.0,MAX_STEPS,77.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,33,0.0,MAX_STEPS,67.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,37,0.0,USER_STOP,70.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,44,0.0,USER_STOP,79.0,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,7,0.0,MAX_STEPS,50.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,8,0.0,MAX_STEPS,66.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,12,0.0,MAX_STEPS,42.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,17,1.0,USER_STOP,48.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,30,0.0,USER_STOP,19.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,22,0.0,MAX_STEPS,55.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,33,0.0,MAX_STEPS,41.6,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,32,0.0,MAX_STEPS,62.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,37,0.0,USER_STOP,56.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,44,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,7,0.0,USER_STOP,37.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,8,0.0,MAX_STEPS,77.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,12,0.0,MAX_STEPS,42.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,22,0.0,MAX_STEPS,58.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,17,0.0,MAX_STEPS,62.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,32,0.0,USER_STOP,28.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,30,0.0,USER_STOP,37.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,33,0.0,USER_STOP,48.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,37,0.0,USER_STOP,65.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,44,0.0,USER_STOP,47.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,7,1.0,USER_STOP,57.6,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,8,0.0,MAX_STEPS,90.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,12,0.0,USER_STOP,40.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,22,0.0,MAX_STEPS,42.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,17,1.0,USER_STOP,66.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,30,1.0,USER_STOP,55.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,32,0.0,MAX_STEPS,57.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,37,0.0,USER_STOP,44.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,33,0.0,MAX_STEPS,71.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,44,0.0,USER_STOP,44.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,0,0.0,USER_STOP,53.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,6,0.0,MAX_STEPS,71.0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,13,1.0,USER_STOP,46.4,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,8,0.0,MAX_STEPS,65.4,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,31,0.0,MAX_STEPS,51.9,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,18,0.0,USER_STOP,53.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,32,0.0,MAX_STEPS,51.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,52,1.0,USER_STOP,63.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,54,0.0,MAX_STEPS,56.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,39,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,98,0.0,MAX_STEPS,117.7,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,104,0.0,MAX_STEPS,66.7,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,109,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,111,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,6,0.0,MAX_STEPS,50.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,0,1.0,USER_STOP,57.2,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,13,1.0,USER_STOP,49.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,8,1.0,USER_STOP,73.4,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,18,0.0,MAX_STEPS,65.9,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,31,0.0,MAX_STEPS,52.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,32,0.0,MAX_STEPS,50.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,52,1.0,USER_STOP,55.7,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,39,0.0,MAX_STEPS,55.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,54,0.0,MAX_STEPS,65.2,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,98,0.0,MAX_STEPS,101.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,104,0.0,MAX_STEPS,77.1,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,109,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,ConflictingView,RAVEL,111,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,0,1.0,USER_STOP,70.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,6,0.0,MAX_STEPS,71.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,13,1.0,USER_STOP,43.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,8,0.0,MAX_STEPS,64.1,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,18,0.0,USER_STOP,43.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,31,0.0,MAX_STEPS,52.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,32,0.0,MAX_STEPS,47.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,52,1.0,USER_STOP,54.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,39,0.0,MAX_STEPS,53.1,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,54,0.0,MAX_STEPS,67.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,104,0.0,MAX_STEPS,60.2,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,98,0.0,MAX_STEPS,105.8,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,109,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,RAVEL,111,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
gpt-oss-120b,airline,FullSync,Baseline,7,0.0,USER_STOP,18.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,8,0.0,MAX_STEPS,38.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,12,0.0,USER_STOP,32.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,17,0.0,USER_STOP,21.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,22,0.0,USER_STOP,21.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,32,0.0,USER_STOP,8.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,30,1.0,USER_STOP,33.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,37,0.0,USER_STOP,28.3,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,33,0.0,MAX_STEPS,53.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,Baseline,44,0.0,USER_STOP,19.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,7,0.0,USER_STOP,19.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,8,1.0,USER_STOP,33.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,17,0.0,USER_STOP,17.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,12,0.0,MAX_STEPS,55.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,22,0.0,USER_STOP,26.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,32,0.0,USER_STOP,15.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,30,1.0,USER_STOP,24.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,37,0.0,MAX_STEPS,40.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,33,0.0,MAX_STEPS,51.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,ConflictingView,RAVEL,44,0.0,USER_STOP,4.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,7,0.0,USER_STOP,11.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,8,0.0,MAX_STEPS,37.0,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,12,0.0,MAX_STEPS,40.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,17,0.0,USER_STOP,21.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,22,0.0,USER_STOP,12.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,32,0.0,USER_STOP,13.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,30,1.0,USER_STOP,25.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,33,0.0,MAX_STEPS,32.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,37,0.0,MAX_STEPS,35.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,Delayed,RAVEL,44,0.0,MAX_STEPS,17.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,7,0.0,USER_STOP,6.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,8,0.0,USER_STOP,33.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,12,0.0,MAX_STEPS,46.3,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,17,0.0,MAX_STEPS,44.3,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,22,0.0,USER_STOP,26.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,32,0.0,USER_STOP,23.3,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,30,0.0,MAX_STEPS,37.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,33,0.0,MAX_STEPS,41.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,37,0.0,MAX_STEPS,40.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FieldMask,RAVEL,44,0.0,USER_STOP,16.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,7,0.0,USER_STOP,14.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,8,0.0,MAX_STEPS,27.0,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,12,0.0,USER_STOP,24.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,22,0.0,USER_STOP,10.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,30,1.0,USER_STOP,22.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,17,0.0,MAX_STEPS,54.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,32,0.0,USER_STOP,9.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,37,0.0,MAX_STEPS,32.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,44,0.0,USER_STOP,5.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,airline,FullSync,RAVEL,33,0.0,MAX_STEPS,45.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,52,1.0,USER_STOP,21.9,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,0,1.0,USER_STOP,32.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,6,1.0,USER_STOP,37.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,104,0.0,MAX_STEPS,26.0,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,8,1.0,USER_STOP,27.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,13,1.0,USER_STOP,23.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,98,0.0,MAX_STEPS,63.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,109,0.0,MAX_STEPS,39.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,31,0.0,MAX_STEPS,22.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,18,0.0,USER_STOP,23.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,111,0.0,MAX_STEPS,25.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,32,0.0,MAX_STEPS,20.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,39,0.0,MAX_STEPS,38.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,Baseline,54,0.0,MAX_STEPS,14.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,6,1.0,USER_STOP,27.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,0,1.0,USER_STOP,30.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,13,1.0,USER_STOP,22.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,8,0.0,MAX_STEPS,30.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,31,0.0,MAX_STEPS,21.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,18,0.0,MAX_STEPS,30.0,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,32,0.0,MAX_STEPS,22.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,52,0.0,USER_STOP,33.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,54,0.0,MAX_STEPS,12.1,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,98,0.0,USER_STOP,13.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,39,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,104,0.0,MAX_STEPS,26.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,109,0.0,MAX_STEPS,41.3,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,ConflictingView,RAVEL,111,0.0,MAX_STEPS,35.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,0,0.0,USER_STOP,21.0,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,6,1.0,USER_STOP,26.8,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,13,0.0,USER_STOP,19.7,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,8,0.0,MAX_STEPS,31.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,18,0.0,USER_STOP,18.5,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,31,0.0,MAX_STEPS,19.3,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,32,0.0,MAX_STEPS,24.6,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,39,0.0,MAX_STEPS,51.0,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,52,0.0,MAX_STEPS,45.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,54,0.0,MAX_STEPS,11.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,104,0.0,MAX_STEPS,26.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,98,0.0,MAX_STEPS,37.4,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,111,0.0,MAX_STEPS,22.2,dev,900,25,multimodel/gptoss
gpt-oss-120b,retail,FullSync,RAVEL,109,0.0,MAX_STEPS,33.2,dev,900,25,multimodel/gptoss
